name,logS,smiles
"2,3,4'-PCB",-6.26,Clc1ccc(-c2cccc(Cl)c2Cl)cc1
"2,3,4-Trichlorophenol",-2.67,Oc1ccc(Cl)c(Cl)c1Cl
"2,3,4-Trimethylpentane",-4.8,CC(C)C(C)C(C)C
"2,3,5,6-Tetrachlorophenol",-3.37,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
"2,3',5-PCB",-6.01,Clc1cccc(-c2cc(Cl)ccc2Cl)c1
"2,3,5-Trichlorophenol",-2.67,Oc1cc(Cl)cc(Cl)c1Cl
"2,3,6-Trichlorophenol",-2.64,Oc1c(Cl)ccc(Cl)c1Cl
"2,3-Dichloronitrobenzene",-3.48,O=[N+]([O-])c1cccc(Cl)c1Cl
"2,3-Dichlorophenol",-1.3,Oc1cccc(Cl)c1Cl
"2,3-Dimethyl-1,3-Butadiene",-2.4,C=C(C)C(=C)C
"2,3-Dimethylbutane",-3.65,CC(C)C(C)C
"2,3-Dimethylnaphthalene",-4.72,Cc1cc2ccccc2cc1C
"2,3-Dimethylpentane",-4.28,CCC(C)C(C)C
"2,3-Dimethylpyridine",0.38,Cc1cccnc1C
"2,4,5-PCB",-6.27,Clc1ccc(-c2cc(Cl)ccc2Cl)cc1
"2,4',5-PCB",-6.25,Clc1ccc(-c2cc(Cl)ccc2Cl)cc1
"2,4,5-Trichlorophenol ",-2.21,Oc1cc(Cl)c(Cl)cc1Cl
"2,4,6-PCB",-6.14,Clc1ccc(-c2c(Cl)cccc2Cl)cc1
"2,4,6-Trichlorophenol",-2.34,Oc1c(Cl)cc(Cl)cc1Cl
"2,4,6-Trimethylphenol",-2.05,Cc1cc(C)c(O)c(C)c1
"2,4,6-Trinitrotoluene",-3.22,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
"2,4-Dichlorophenol ",-1.55,Oc1ccc(Cl)cc1Cl
"2,4-Dimethyl-2-pentanol ",-0.92,CC(C)CC(C)(C)O
"2,4-Dimethyl-3-pentanol",-1.22,CC(C)C(O)C(C)C
"2,4-Dimethyl-3-pentanone",-1.3,CC(C)C(=O)C(C)C
"2,4-Dimethylpentane",-4.26,CC(C)CC(C)C
"2,4-Dimethylphenol",-1.19,Cc1ccc(O)c(C)c1
"2,4-Dimethylpyridine",0.38,Cc1ccnc(C)c1
"2,4-Dinitrotoluene",-2.82,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
"2,4'-PCB",-5.28,Clc1ccc(-c2ccccc2Cl)cc1
"2,4-PCB",-5.25,Clc1ccc(-c2ccccc2Cl)cc1
"2,6-Dichlorophenol",-1.79,Oc1c(Cl)cccc1Cl
"2,6-Dimethylnaphthalene ",-4.89,Cc1ccc2cc(C)ccc2c1
"2,6-Dimethylphenol",-1.29,Cc1cccc(C)c1O
"2,6-Dimethylpyridine",0.45,Cc1cccc(C)n1
"2,6-Dinitrotoluene",-3,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
"2,6-PCB",-5.21,Clc1cccc(Cl)c1-c1ccccc1
"2,7-dimethylquinoline",-1.94,Cc1ccc2ccc(C)nc2c1
2-aminoanthracene,-5.17,Nc1ccc2cc3ccccc3cc2c1
2-bromonaphthalene,-4.4,Brc1ccc2ccccc2c1
2-Bromonapthalene,-4.4,Brc1ccc2ccccc2c1
2-Bromopropane,-1.59,CC(C)Br
2-Bromotoluene,-2.23,Cc1ccccc1Br
2-Butanone,0.52,CCC(C)=O
2-butenal,0.32,CC=CC=O
2-Butoxyethanol,-0.42,CCCCOCCO
2-Chloro-2-methylbutane,-2.51,CCC(C)(C)Cl
2-Chloroanisole,-2.46,COc1ccccc1Cl
2-Chlorobiphenyl,-4.54,Clc1ccccc1-c1ccccc1
2-Chlorobutane,-1.96,CCC(C)Cl
2-Chloronapthalene,-4.14,Clc1ccc2ccccc2c1
2-Chlorophenol,-1.06,Oc1ccccc1Cl
2-Chloropropane,-1.41,CC(C)Cl
2-Chlorotoluene,-3.52,Cc1ccccc1Cl
2-cyanoguanidine,-0.31,N#CN=C(N)N
2-Decanone,-3.3,CCCCCCCCC(C)=O
2-Ethyl pyridine,0.51,CCc1ccccn1
2-Ethyl-1-butanol,-1.17,CCC(CC)CO
2-Ethyl-1-hexanol,-2.11,CCCCC(CC)CO
2-Ethyl-2-hexanal,-2.46,CCCC=C(C=O)CC
2-Ethylbutanal,-1.52,CCC(C=O)CC
2-Ethylhexanal,-2.13,CCCCC(C=O)CC
2-Ethylnaphthalene,-4.29,CCc1ccc2ccccc2c1
2-Ethyltoluene,-3.21,CCc1ccccc1C
2-Heptanol ,-1.55,CCCCCC(C)O
2-Heptanone,-1.45,CCCCCC(C)=O
2-Hexanol,-0.89,CCCCC(C)O
2-Hexanone,-0.8,CCCCC(C)=O
2-hydroxypteridine,-1.947,Oc1ncc2nccnc2n1
2-Hydroxypyridine,1.02,Oc1ccccn1
2-Iodopropane,-2.09,CC(C)I
2-Isopropyltoluene,-3.76,Cc1ccccc1C(C)C
2-methoxypteridine,-1.11,COc1ncc2nccnc2n1
2-Methy-2-Butene,-2.56,CC=C(C)C
"2-Methyl-1,3-Butadiene ",-2.03,C=CC(=C)C
2-Methyl-1-Butene,-2.73,C=C(C)CC
2-Methyl-1-Pentene,-3.03,C=C(C)CCC
2-Methyl-2-heptanol,-1.72,CCCCCC(C)(C)O
2-Methyl-2-hexanol,-1.08,CCCCC(C)(C)O
2-Methyl-2-pentanol,-0.49,CCCC(C)(C)O
2-Methyl-3-pentanol,-0.7,CCC(O)C(C)C
2-Methylanthracene,-6.96,Cc1ccc2cc3ccccc3cc2c1
2-Methylbutan-2-ol,0.15,CCC(C)(C)O
2-Methylbutane,-3.18,CCC(C)C
2-Methylbutanol,-0.47,CCC(C)CO
2-Methylheptane,-5.08,CCCCCC(C)C
2-Methylnapthalene,-3.77,Cc1ccc2ccccc2c1
2-Methylpentane,-3.74,CCCC(C)C
2-Methylpentanol,-1.11,CCCC(C)CO
2-Methylphenanthrene,-5.84,Cc1ccc2c(ccc3ccccc32)c1
2-Methylphenol,-0.62,Cc1ccccc1O
2-Methylpropan-1-ol,0.1,CC(C)CO
2-Methylpropane,-2.55,CC(C)C
2-Methylpropene,-2.33,C=C(C)C
2-methylpteridine,-0.12,Cc1ncc2nccnc2n1
2-Methyltetrahydrofurane,0.11,CC1CCCO1
2-Napthol,-2.28,Oc1ccc2ccccc2c1
2-Nitropropane,-0.62,CC(C)[N+](=O)[O-]
2-Nonanol,-2.74,CCCCCCCC(C)O
2-Nonanone,-2.58,CCCCCCCC(C)=O
2-Octanol,-2.09,CCCCCCC(C)O
2-Octanone,-2.05,CCCCCCC(C)=O
2-Pentanol,-0.29,CCCC(C)O
2-Pentanone,-0.19,CCCC(C)=O
2-Phenoxyethanol,-0.7,OCCOc1ccccc1
2-Propanol,0.43,CC(C)O
2-pyrrolidone,1.07,O=C1CCCN1
2-Undecanol,-2.94,CCCCCCCCCC(C)O
"3,3-Dimethyl-1-butanol",-0.5,CC(C)(C)CCO
"3,3-Dimethyl-2-butanol",-0.62,CC(O)C(C)(C)C
"3,3-Dimethyl-2-butanone",-0.72,CC(=O)C(C)(C)C
"3,3-Dimethylpentane",-4.23,CCC(C)(C)CC
"3,4-Dichloronitrobenzene",-3.2,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
"3,4-Dichlorophenol",-1.25,Oc1ccc(Cl)c(Cl)c1
"3,4-Dimethylphenol",-1.38,Cc1ccc(O)cc1C
"3,4-Dimethylpyridine",0.36,Cc1ccncc1C
"3,4-PCB",-6.39,Clc1ccc(-c2ccccc2)cc1Cl
"3,5-Dichlorophenol",-1.34,Oc1cc(Cl)cc(Cl)c1
"3,5-Dimethylphenol",-1.4,Cc1cc(C)cc(O)c1
"3,5-Dimethylpyridine",0.38,Cc1cncc(C)c1
3-Butanoyloxymethylphenytoin,-5.071,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
3-Chloroanisole,-2.78,COc1cccc(Cl)c1
3-Chlorobiphenyl,-4.88,Clc1cccc(-c2ccccc2)c1
3-Chlorophenol,-0.7,Oc1cccc(Cl)c1
3-chloropropionitrile,-0.29,N#CCCCl
3-Ethanoyloxymethylphenytoin,-4.47,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
3-Ethyl-3-pentanol,-0.85,CCC(O)(CC)CC
3-Heptanol ,-1.47,CCCCC(O)CC
3-Heptanoyloxymethylphenytoin,-6.301,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
3-Hexanol,-0.8,CCCC(O)CC
3-Hexanone,-0.83,CCCC(=O)CC
3-Hexanoyloxymethylphenyltoin,-5.886,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
3-Hexyne,-1.99,CCC#CCC
3-Methyl-1-Butene,-2.73,C=CC(C)C
3-Methyl-2-butanol,-0.18,CC(C)C(C)O
3-Methyl-2-butanone,-0.12,CC(=O)C(C)C
3-Methyl-2-pentanol,-0.72,CCC(C)CCO
3-Methyl-2-pentanol,-0.71,CCC(C)CCO
3-Methyl-2-pentanone,-0.67,CCC(C)C(C)=O
3-Methyl-3-heptanol,-1.6,CCCCC(C)(O)CC
3-Methyl-3-hexanol,-0.98,CCCC(C)(O)CC
3-Methyl-3-pentanol,-0.36,CCC(C)(O)CC
3-Methylbutan-1-ol,-0.51,CC(C)CCO
3-Methylcholanthrene,-7.92,Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1
3-Methylheptane,-5.16,CCCCC(C)CC
3-methylindole,-2.42,Cc1c[nH]c2ccccc12
3-Methylpentane,-3.68,CCC(C)CC
3-Methylphenol,-0.68,Cc1cccc(O)c1
3-Octanol,-1.98,CCCCCC(O)CC
3-Octanoyloxymethylphenytoin,-6.523,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
3-Pentanol,-0.24,CCC(O)CC
3-Pentanone,-0.28,CCC(=O)CC
3-Pentanoyloxymethylphenytoin,-4.678,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
3-Propanoyloxymethylphenytoin,-4.907,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
"4,4'-PCB",-6.56,Clc1ccc(-c2ccc(Cl)cc2)cc1
4-Bromophenol,-1.09,Oc1ccc(Br)cc1
4-Bromotoluene,-3.19,Cc1ccc(Br)cc1
4-Chloroanisole,-2.78,COc1ccc(Cl)cc1
4-Chlorophenol ,-0.7,Oc1ccc(Cl)cc1
4-Chlorotoluene,-3.08,Cc1ccc(Cl)cc1
4-Ethyltoluene,-3.11,CCc1ccc(C)cc1
4-Heptanol,-1.4,CCCC(O)CCC
4-Heptanone,-1.3,CCCC(=O)CCC
4-hexylresorcinol,-2.59,CCCCCCc1ccc(O)cc1O
4-hydroxypyridine,1.02,Oc1ccncc1
4-Isopropyltoluene,-3.77,Cc1ccc(C(C)C)cc1
4-methoxypteridine,-1.11,COc1ncnc2nccnc12
4-Methyl-2-pentanol,-0.8,CC(C)CC(C)O
4-Methyl-2-pentanone,-0.74,CC(=O)CC(C)C
4-Methylbiphenyl,-4.62,Cc1ccc(-c2ccccc2)cc1
4-Methylpentanol,-1.14,CC(C)CCCO
4-methylpteridine,-0.466,Cc1ncnc2nccnc12
4-Nitroacetanilide,-2.692,CC(=O)Nc1ccc([N+](=O)[O-])cc1
4-Pentene-1-ol,-0.15,C=CCCCO
5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.253,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.593,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O
"5,5-Diallylbarbital",-2.077,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
"5,5-Diisopropylbarbital",-2.766,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O
"5,5-Dimethylbarbituric acid",-1.742,CC1(C)C(=O)NC(=O)NC1=O
"5,6,7,8-tetrahydro-2-naphthol",-1.99,Oc1ccc2c(c1)CCCC2
"5,6-Dimethylchrysene",-7.01,Cc1c(C)c2c3ccccc3ccc2c2ccccc12
5-Allyl-5-ethylbarbital,-1.614,C=CCC1(CC)C(=O)NC(=O)NC1=O
5-Allyl-5-isopropylbarbital,-1.708,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
5-Allyl-5-methylbarbital,-1.16,C=CCC1(C)C(=O)NC(=O)NC1=O
5-Allyl-5-phenylbarbital,-2.369,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
5-Ethyl-5-(3-methylbutyl)barbital,-2.658,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
5-Ethyl-5-isopropylbarbituric acid,-2.148,CCC1(C(C)C)C(=O)NC(=O)NC1=O
5-Ethyl-5-phenylbarbital,-2.322,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
5-fluorouracil,-1.077,O=c1[nH]cc(F)c(=O)[nH]1
5-hydroxyquinoline,-2.54,Oc1cccc2ncccc12
5-Methyl-5-ethylbarbituric acid,-1.228,CCC1(C)C(=O)NC(=O)NC1=O
5-Methylchrysene,-6.59,Cc1cc2ccccc2c2ccc3ccccc3c12
5-methylcytosine,-1.458,Cc1c[nH]c(=O)nc1N
5-Nonanone,-2.58,CCCCC(=O)CCCC
6-aminochrysene,-6.2,Nc1cc2c3ccccc3ccc2c2ccccc12
6-hydroxyquinoline,-2.16,Oc1ccc2ncccc2c1
6-methoxypteridine,-1.139,COc1cnc2ncncc2n1
6-Methylchrysene,-6.57,Cc1cc2c3ccccc3ccc2c2ccccc12
"7,12-Dimethylbenz(a)anthracene",-7.02,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
7-methoxypteridine,-0.91,COc1cnc2cncnc2n1
7-methylpteridine,-0.854,Cc1cnc2cncnc2n1
8-quinolinol,-2.42,Oc1cccc2cccnc12
"9,10-Dimethylanthracene",-6.57,Cc1c2ccccc2c(C)c2ccccc12
9-anthrol,-4.73,Oc1c2ccccc2cc2ccccc12
9-Methylanthracene,-5.89,Cc1c2ccccc2cc2ccccc12
Abate,-6.237,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
Acenapthene,-4.63,c1cc2c3c(cccc3c1)CC2
Acenapthylene,-3.96,C1=Cc2cccc3cccc1c23
Acephate,0.54,COP(=O)(NC(C)=O)SC
Acetamide,1.58,CC(N)=O
Acetanilide,-1.33,CC(=O)Nc1ccccc1
Acetonitrile,0.26,CC#N
Acetophenone,-1.28,CC(=O)c1ccccc1
acetyl sulfisoxazole,-3.59,CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1
Acridine,-3.67,c1ccc2nc3ccccc3cc2c1
Acrolein,0.57,C=CC=O
Acrylonitrile,0.15,C=CC#N
adenine,-2.12,Nc1ncnc2nc[nH]c12
adrenosterone,-3.48,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O
alachlor,-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl
aldosterone,-3.85,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
Aldrin,-6.307,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
allantoin,-1.6,NC(=O)NC1NC(=O)NC1=O
allicin,-0.83,C=CCSS(=O)CC=C
allopurinol,-2.266,O=c1[nH]cnc2[nH]ncc12
alloxan,-1.25,O=C1NC(=O)C(=O)C(=O)N1
alloxantin,-1.99,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1
Altretamine,-3.364,CN(C)c1nc(N(C)C)nc(N(C)C)n1
Ametryn,-3.04,CCNc1nc(NC(C)C)nc(SC)n1
Amigdalin,-0.77,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1
Aminocarb,-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
aminopyrine,-0.364,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
aminothiazole,-0.36,Nc1nccs1
Amitraz,-5.47,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1
Amitrole,0.522,Nc1nc[nH]n1
Amobarbital,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
ampyrone,-0.624,Cc1c(N)c(=O)n(-c2ccccc2)n1C
Ancymidol,-2.596,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1
